序号,合作银行简称,合作业务规模,
,,业务规模（万元）,规模占比
34,商州担保,8000,4866,0.11%,7.77%
35,吴起担保,5000,4720,0.1%,-59.11%
36,吴堡担保,5300,4076,0.09%,-14.36%
37,大荔担保,5150,3030,0.07%,-16.64%
38,米脂担保,5150,2840,0.06%,-10.97%
39,西安航天担保,170000,2332.51,0.05%,-71%
40,清涧担保,5300,1413,0.03%,-70.94%
41,绥德担保,5000,980,0.02%,-80.23%
合计,,2818794.81,4505688.57,100%,-464.02%
﻿序号,担保机构简称,业务规模(万元）,规模占比
1,西安财金担保,83401.54,34.79%
2,西安小微担保,58480,24.39%
3,咸阳担保,46476.44,19.39%
4,西安创新担保,17173.12,7.16%
5,宝鸡担保,10495,4.38%
6,西投保,7300,3.04%
7,长安担保,4000,1.67%
8,铜川担保,3300,1.38%
9,安康担保,3220,1.34%
10,延安担保,2300,0.96%
11,浐灞担保,1648,0.69%
12,西安航天担保,1143.51,0.48%
13,杨凌担保,800,0.33%
合计,,239737.61,100%
﻿序号,担保机构简称,业务规模(万元）,规模占比
1,安康担保,89313,29.26%
2,汉中担保,73718.5,24.15%
3,宝鸡担保,64622.1,21.17%
4,咸阳担保,23378,7.66%
5,铜川担保,13857,4.54%
6,佳县担保,11008.9,3.61%
7,延安担保,5026,1.65%
8,西安财金担保,4171,1.37%
9,西安创新担保,4029,1.32%
10,杨凌担保,2980,0.98%
11,商洛担保,2265,0.74%
12,子长担保,2000,0.66%
13,渭南担保,1710,0.56%
14,西安小微担保,1414,0.46%
15,吴堡担保,920,0.3%
16,大荔担保,800,0.26%
17,子洲担保,746.5,0.24%
18,绥德担保,590,0.19%
19,榆正担保,480,0.16%
20,米脂担保,420,0.14%
21,高陵担保,350,0.11%
22,蒲城担保,325,0.11%
23,神木担保,320,0.1%
24,商州担保,300,0.1%
25,吴起担保,280,0.09%
26,清涧担保,175,0.06%
27,浐灞担保,30,0.01%
28,西投保,28,0.01%
合计,,305257,100%
﻿序号,担保机构简称,平均担保费率,平均贷款利率,综合融资成本
1,西安航天担保,0.75%,3.12%,3.87%
2,杨凌担保,0.48%,3.66%,4.14%
3,长安担保,0.83%,3.64%,4.47%
4,沣东担保,0.89%,3.94%,4.83%
5,西安财金担保,0.89%,4.13%,5.02%
6,西投保,0.98%,4.1%,5.08%
7,陕西文化担保,0.99%,4.14%,5.13%
